
2,Ed Sheeran,"33,657,429,544","2,470,158,910",214,9,58,161,190,02/07/22
3,Bad Bunny,"31,658,290,409","4,264,067,734",141,3,87,134,140,02/07/22
4,Ariana Grande,"29,320,917,634","1,882,852,785",181,4,63,125,175,02/07/22
5,The Weeknd,"29,216,952,439","3,660,176,639",177,6,67,142,160,02/07/22
6,Justin Bieber,"28,241,038,432","8,170,851,517",221,6,53,167,193,02/07/22
7,Post Malone,"26,821,505,421","2,200,530,545",82,8,53,65,66,02/07/22
8,Eminem,"26,661,659,828","3,746,935,986",278,3,58,221,258,02/07/22
9,Taylor Swift,"26,120,450,612","332,313,062",320,1,72,246,310,02/07/22
10,BTS,"23,424,623,905","229,543,010",253,1,86,197,253,02/07/22
11,J Balvin,"23,340,737,305","9,249,658,908",233,2,63,138,214,02/07/22
12,Kanye West,"21,573,408,150","5,106,720,311",237,0,56,188,215,02/07/22
13,Billie Eilish,"20,563,070,772",0,62,4,41,57,61,02/07/22
14,Juice WRLD,"19,946,978,033","2,929,635,208",115,1,55,109,114,02/07/22
15,Coldplay,"19,305,703,824",0,296,4,31,161,272,02/07/22
16,Ozuna,"19,284,107,500","6,950,804,227",207,1,46,146,190,02/02/22
17,XXXTENTACION,"19,245,519,581","2,415,843,149",131,6,40,103,121,02/07/22
18,Khalid,"19,179,695,071","2,470,259,407",110,6,37,85,103,02/02/22
19,Imagine Dragons,"18,732,075,941","59,207,397",145,4,37,107,127,02/06/22
20,Dua Lipa,"18,674,731,350","304,957,020",191,5,32,75,161,02/07/22
21,Travis Scott,"18,616,016,494","8,751,600,383",112,3,42,90,106,02/06/22
22,Rihanna,"18,497,204,131","6,527,703,215",273,1,44,109,198,02/07/22
23,Maroon 5,"17,885,419,776","17,080",238,4,28,105,194,02/05/22
24,Shawn Mendes,"17,153,383,612","41,691,426",125,4,31,93,121,02/04/22
25,David Guetta,"16,762,913,686","1,074,433,807",656,1,43,132,364,02/06/22
26,Calvin Harris,"16,157,804,808","400,535,292",218,2,28,82,174,02/07/22
27,Bruno Mars,"15,802,070,115","3,478,586,326",78,4,31,60,72,02/07/22
28,Daddy Yankee,"15,773,736,210","4,961,870,893",340,3,39,87,203,02/07/22
29,Sam Smith,"15,549,948,323","263,407,919",139,3,30,80,131,02/07/22
30,Queen,"14,801,078,353","30,799,579",557,4,23,89,398,02/07/22
31,Kendrick Lamar,"14,666,546,826","7,881,830,605",102,1,32,90,96,02/07/22
32,The Chainsmokers,"14,388,538,320","382,004,617",174,3,24,74,150,02/06/22
33,One Direction,"13,943,991,229",0,126,0,40,102,118,12/31/21
34,Chris Brown,"13,745,468,966","7,793,566,070",395,0,36,185,325,02/08/22
35,Beyoncé,"13,689,083,562","1,898,945,339",342,1,32,152,246,02/05/22
36,Future,"13,532,541,811","8,255,367,726",460,1,26,204,338,01/31/22
37,Sia,"13,410,687,404","2,856,769,173",316,3,26,105,228,01/04/22
38,Nicki Minaj,"13,374,055,681","10,132,382,259",160,1,32,113,153,02/02/22
39,Lady Gaga,"13,137,962,909","86,044,478",306,1,26,104,188,02/07/22
40,Halsey,"12,946,913,996","1,405,259,921",155,3,23,93,128,02/07/22
41,Selena Gomez,"12,835,017,644","1,920,651,092",134,3,23,80,120,02/07/22
42,J. Cole,"12,658,142,576","2,850,924,701",150,1,33,108,133,12/31/21
43,Anuel AA,"12,580,728,951","4,134,564,563",153,0,31,115,145,02/07/22
44,The Beatles,"12,414,275,014",0,790,0,31,174,437,02/07/22
45,Adele,"12,277,378,128","32,353,093",70,3,24,59,69,02/08/22
46,Maluma,"12,209,245,296","5,401,417,224",185,0,32,125,175,02/08/22
47,Katy Perry,"11,972,966,095","976,423,057",181,0,31,84,141,12/29/21
48,Twenty One Pilots,"11,934,156,322",0,90,3,34,74,84,02/05/22
49,Marshmello,"11,612,641,080","517,135,134",142,4,17,83,132,01/13/22
50,Linkin Park,"11,592,656,987","44,840,378",348,1,28,108,276,02/07/22
51,Lil Uzi Vert,"11,549,980,209","5,524,597,197",128,1,29,116,127,01/31/22
52,Kygo,"11,483,923,454","1,346,006,667",100,1,27,83,99,12/31/21
53,Avicii,"11,411,367,905","387,905,766",245,1,18,86,155,01/27/22
54,Farruko,"10,747,533,813","6,025,727,331",337,0,28,114,279,02/03/22
55,Lana Del Rey,"10,475,385,851","642,404,984",162,0,30,109,150,02/07/22
56,Camila Cabello,"10,367,619,326","2,051,505,936",48,2,23,41,46,02/07/22
57,Jason Derulo,"10,191,500,900","660,691,980",190,0,27,64,130,01/17/22
58,Demi Lovato,"9,677,572,747","1,393,265,812",231,0,23,86,186,12/28/21
59,Red Hot Chili Peppers,"9,609,033,828","3,383,166",250,0,17,110,202,02/07/22
60,Rauw Alejandro,"9,604,608,309","1,563,275,062",165,0,28,89,133,02/07/22
61,Shakira,"9,468,540,274","1,057,607,750",231,0,23,85,194,01/26/22
62,Arctic Monkeys,"9,459,218,536","2,303,193",133,1,18,85,133,02/07/22
63,Nicky Jam,"9,266,294,031","8,492,374,094",228,0,26,86,154,01/29/22
64,OneRepublic,"8,888,965,097","206,235,668",163,1,25,73,129,02/07/22
65,Martin Garrix,"8,754,554,260","79,518,188",181,1,16,76,145,02/07/22
66,Panic! At The Disco,"8,754,132,000","609,099,358",135,1,20,79,127,12/16/21
67,Miley Cyrus,"8,745,782,906","848,665,114",176,0,16,84,154,02/04/22
68,Michael Jackson,"8,614,287,598","511,379,011",328,1,21,89,233,02/07/22
69,Harry Styles,"8,570,595,783","1,340,619",26,2,23,24,25,02/07/22
70,KAROL G,"8,565,012,131","496,809,565",78,1,24,58,74,02/07/22
71,Doja Cat,"8,554,711,074","1,468,177,931",79,1,19,59,73,02/07/22
72,G-Eazy,"8,413,491,537","2,147,434,113",222,1,15,109,204,01/26/22
73,Pitbull,"8,387,968,827","2,794,893,538",387,0,20,79,208,01/17/22
74,Cardi B,"8,249,045,368","5,803,480,445",66,1,17,50,64,02/07/22
75,Major Lazer,"8,209,538,978","570,965,984",258,3,14,64,169,01/07/22
76,Ellie Goulding,"8,172,395,841","640,020,409",163,1,16,67,129,02/03/22
77,Charlie Puth,"8,170,909,712","205,973,105",99,3,11,54,85,02/07/22
78,DaBaby,"8,134,100,895","4,225,309,542",140,2,17,77,124,02/06/22
79,Sebastian Yatra,"8,114,687,575","764,816,799",110,0,27,73,100,02/07/22
80,Lil Wayne,"8,072,236,998","12,828,916,756",475,0,18,108,302,02/06/22
81,Young Thug,"7,992,815,075","8,427,759,332",351,0,17,123,215,02/03/22
82,Sech,"7,972,891,214","2,561,790,062",118,0,22,66,104,02/02/22
83,Wiz Khalifa,"7,927,463,688","6,161,211,558",406,1,19,104,289,01/13/22
84,21 Savage,"7,837,341,911","5,036,908,719",152,0,20,81,122,02/07/22
85,Lil Baby,"7,782,813,527","7,185,828,331",167,0,18,110,155,02/03/22
86,Fall Out Boy,"7,744,167,173","36,655,456",199,0,16,95,164,02/06/22
